sample_id	donor_rrid_ref	study_accession	library_chemistry	library_prep_kit	sequencing_platform	alignment_tool	reference_genome	cellranger_version	n_cells	mean_umi_count_per_cell	mean_genes_per_cell	mean_total_reads_per_cell	mean_uniquely_mapped_reads_per_cell	mean_secondary_alignments_per_cell	mean_supplementary_alignments_per_cell	mean_cellbender_cell_probability	mean_post_cellbender_umis_per_cell	mean_pct_cellbender_removed	mean_pct_mitochondrial_reads
HPAP-049	HPAP-049	HPAP	V3							17843.968514715947	3939.737850787132	39689.97262149213	36219.82477754962	5164.030116358658	0.0	0.9999552433985215	19678.45927446954	5.912224412880686	6.024270667120494
HPAP-050	HPAP-050	HPAP	V3							14500.571736785329	3047.339805825243	28972.7238403452	26047.88241639698	4512.165048543689	0.0	0.9999690134934237	15540.19309600863	5.2762707264686535	6.369164162841814
HPAP-051	HPAP-051	HPAP	V3							29316.84491114701	5280.226171243942	105302.84168012925	95880.47819063005	13299.878836833603	0.0	0.9999694356240441	32230.09208400646	11.109989810966837	4.145815093007503
HPAP-052	HPAP-052	HPAP	V3							28621.581839904422	4563.1756272401435	77327.77658303465	71232.32497013142	8880.755077658303	0.0	0.9999686416189587	31343.712066905617	10.284271308767462	4.103603586964146
HPAP-053	HPAP-053	HPAP	V3							18328.227467811157	3650.497854077253	42875.609442060086	39180.93025751073	4648.154506437768	0.0	0.9999636724399394	19905.855150214593	15.799217142870274	6.775799112121487
HPAP-054	HPAP-054	HPAP	V3							15624.348046309697	3505.4811866859623	30711.52387843705	28167.908104196817	3683.9696092619392	0.0	0.9999609570168552	16922.39507959479	4.674708395761492	4.718599030150365
HPAP-055	HPAP-055	HPAP	V3							16742.748687171792	4058.7419354838707	40345.58739684921	36869.54838709677	5314.243810952738	0.0	0.9999652775444666	18380.94448612153	5.633037435113819	5.8179528083960985
HPAP-056	HPAP-056	HPAP	V3							19191.12609238452	3589.6704119850187	41531.47066167291	37991.031210986264	4864.228464419476	0.0	0.999962705053789	20892.92759051186	13.659813417992666	6.79624689855857
HPAP-057	HPAP-057	HPAP	V3							22663.81045751634	4863.14705882353	61703.89215686275	56920.82679738562	6693.385620915033	0.0	0.9999766832862804	24987.787581699347	12.016751832457409	4.226969693157803
HPAP-058	HPAP-058	HPAP	V3							19378.724815724814	3340.7321867321866	45631.1425061425	41799.528255528254	5245.606879606879	0.0	0.9999482163779565	20985.91891891892	13.45506432712238	5.6897692238588
HPAP-059	HPAP-059	HPAP	V3							27431.151399491093	4368.81679389313	57873.78880407125	52092.60941475827	8741.507633587786	0.0	0.9999753323220114	29947.987277353688	5.931776507718895	5.679957192723521
HPAP-061	HPAP-061	HPAP	V3							18932.453846153847	3646.575824175824	46861.826373626376	42300.415384615386	7177.520879120879	0.0	0.9999450153046912	21631.527472527472	15.875149031192084	4.723984596366966
HPAP-063	HPAP-063	HPAP	V3							15354.375946173255	2773.0294365012614	33904.736753574434	31627.995794785533	4087.594617325484	0.0	0.9999353111141163	16942.603027754416	13.828935931251303	5.571562822960978
HPAP-064	HPAP-064	HPAP	V3							20809.380352644836	4509.3711167086485	44573.55247691016	40296.09823677582	6629.899244332493	0.0	0.9999637500665249	23347.96389588581	5.822175388272609	3.849083163292478
HPAP-065	HPAP-065	HPAP	V3							28848.30649717514	4766.7683615819205	56088.96186440678	50399.89971751413	9130.912429378532	0.0	0.999978342298734	30776.87429378531	6.78892259585558	5.53499506290455
HPAP-070	HPAP-070	HPAP	V3							9985.91493383743	2148.491493383743	56606.89035916824	50530.328922495275	11456.211720226844	0.0	0.9999055109763191	10338.039697542534	10.593489094227031	0.16056625363852037
HPAP-071	HPAP-071	HPAP	V3							24653.472074468085	5089.753989361702	58401.741356382976	52185.557180851065	9737.201462765957	0.0	0.9999709982187189	26870.00199468085	5.482356282126842	4.747185574028446
HPAP-072	HPAP-072	HPAP	V3							33333.98387096774	4400.6467741935485	89814.58225806452	79412.60806451613	15276.627419354838	0.0	0.9999663730782847	35567.493548387094	14.529793252030577	3.926292885060643
HPAP-074	HPAP-074	HPAP	V3							21654.744554455447	4716.653465346535	60447.92871287129	55495.84950495049	7181.106930693069	0.0	0.9999855341297565	23493.661386138614	10.115522273939785	5.119477250035942
HPAP-075	HPAP-075	HPAP	V3							23379.324461343473	5234.319391634981	60439.631178707226	53925.96070975919	13551.40937896071	0.0	0.9999927356367025	25503.09885931559	7.327018221225671	7.102330037768371
HPAP-077	HPAP-077	HPAP	V3							34877.52772466539	5851.273422562142	101531.86615678776	91584.74760994264	19273.0086042065	0.0	0.9999883137857024	38950.72084130019	5.829653768044082	7.245461913774878
HPAP-079	HPAP-079	HPAP	V3							40726.8117048346	6226.348600508906	117222.0941475827	105029.36132315522	19798.0941475827	0.0	0.9999809071004542	44132.44529262087	6.8196928136163	5.109522757799224
HPAP-080	HPAP-080	HPAP	V3							31711.432062561096	5971.585532746823	104602.26001955035	94172.83773216032	16817.88172043011	0.0	0.9999820256163298	34599.652003910065	4.93934786015186	5.40943703241201
HPAP-081	HPAP-081	HPAP	V3							34126.108812260536	6354.155555555555	115582.0	103910.51570881227	18137.31570881226	0.0	0.9999860471235837	38644.41992337165	5.680235934577289	4.516492230487634
HPAP-082	HPAP-082	HPAP	V3							37708.238053866204	5504.1303214596	115401.29973935708	100942.32927888792	31927.981754995657	0.0	0.9999775329328018	40756.614248479586	5.022482458221011	4.7173402135344995
HPAP-083	HPAP-083	HPAP	V3							26184.017679558012	4697.598895027624	72974.64309392266	63197.13370165746	16381.879558011049	0.0	0.9999742671271055	28690.71270718232	4.660010351326399	4.599481311063907
HPAP-084	HPAP-084	HPAP	V3							28644.700469483567	5815.741784037558	85024.14460093896	67825.92863849766	29506.136150234743	0.0	0.9999714248057262	32925.76807511737	4.689078146341154	5.009991971544501
HPAP-085	HPAP-085	HPAP	V3							31850.632352941175	5594.871107266436	117152.31920415226	100513.83131487889	36706.775951557094	0.0	0.9999748419931602	36524.46539792387	4.921684893321389	7.139345533553329
HPAP-087	HPAP-087	HPAP	V3							29624.916002036316	5487.860342779569	76181.6993042593	59847.04259290684	21219.824198201255	0.0	0.9999537077537523	32744.334804004753	4.8103596158405235	4.194895991450998
HPAP-091	HPAP-091	HPAP	V3							18514.144012944984	4544.813915857605	58613.18284789644	47291.77669902913	28750.24919093851	0.0	0.9999654967229342	21186.757281553397	4.692468830863724	4.528812427083028
HPAP-092	HPAP-092	HPAP	V3							25047.360281923713	5255.749585406302	63552.99336650083	52414.60655058043	27157.601575456054	0.0	0.9999689010047595	27342.055555555555	5.176064576625138	3.8374664063462953
HPAP-095	HPAP-095	HPAP	V3							16483.557635048914	4157.856231390898	43356.21054870268	39539.75925138239	5357.513398553807	0.0	0.9999506445146022	18004.46746065504	8.703979522983706	4.961293635646788
HPAP-096	HPAP-096	HPAP	V3							25674.153153153155	4892.171771771772	71261.36636636636	64740.77357357358	13583.875675675676	0.0	0.9999728872253372	29075.204204204205	5.182290156973214	6.824329144442785
HPAP-097	HPAP-097	HPAP	V3							36238.32763433357	5582.502442428472	103168.38904396372	92304.08688066993	17736.228541521283	0.0	0.9999759131516099	39802.29937194697	4.537187729466366	5.266482155336425
HPAP-099	HPAP-099	HPAP	V3							25525.200379867045	4149.150997150997	78633.88414055081	69220.12060778728	17689.125356125358	0.0	0.9999474232692663	28230.320987654322	14.380562604159781	4.518884977291429
HPAP-100	HPAP-100	HPAP	V3							28296.033037872683	5054.541700241741	89679.77961321516	77363.24697824335	23861.4985898469	0.0	0.9999736240321259	31421.845487510072	5.040680573704844	5.477982166361577
HPAP-101	HPAP-101	HPAP	V3							14839.554569802478	3362.8711081352526	76064.79360562438	69469.85855373285	15225.875460328089	0.0	0.9997574538740778	16773.31687311684	5.246428276205569	5.358467098637605
HPAP-103	HPAP-103	HPAP	V3							21064.558053814966	2929.8695171396976	64688.10283818651	57644.11168448212	18915.32178400295	0.0	0.999930180595495	22609.032436417252	9.19442524303321	4.380278693801003
HPAP-104	HPAP-104	HPAP	V3							22420.270767613038	4286.288643533123	70410.98685594111	63718.43427970557	19459.39090431125	0.0	0.9999602291611592	24454.038643533124	3.799992479638198	4.907450557722195
HPAP-105	HPAP-105	HPAP	V3							30568.28288482239	4902.184930032293	105395.94682454252	96450.2650161464	16710.975888051667	0.0	0.9999756516886732	33335.85425188375	3.3911275454898466	4.763309793803093
